Code,Name,Location,Regional_Style,Period,Form,Body_Shape,Soundbox_Chamber_Count,Waist_Presence,Neck_Length,Neck_Width,Body_Neck_Boundary,Head_Angle,Pegbox Presence,Maximum_String_Count,Soundhole_Count,Soundhole_Shape,Obvious_Fret,Obvious_Plectrum,Obvious_Pickguard,Code,Collection,Source_Type_1,Citation_1,Source_Type_2,Citation_2,Source_Type_3,Citation_3,Source_Type_4,Citation_4
KZ-10,Kizil 123 Lute,Kizil,Tarim_Basin,600-700 CE,Painting,waterdrop,single,no,short,tapering,smooth,straight,yes,5,0,n,FALSE,FALSE,FALSE,KZ-10,in_situ,catalogue,"General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 85",,,,,,
LR-01,Loriyan Tangai Buddha Playing Lute,Loriyan Tangai,Gandhara,100-300 CE,Relief,waterdrop,single,no,short,tapering,smooth,straight,yes,2,2,ring,FALSE,FALSE,FALSE,LR-01,"Indian Museum, Kolkata",online_gallery,https://photodharma.net/Guests/Kawasaki-Buddhas/index.htm,online_gallery,https://photodharma.net/India/Indian-Museum/index.htm,,,,
MG-01,Mogao 12 Music Scene,Mogao Cave,China,848-906 CE,Painting,ovoid,single,no,short,parallel,obtuse,straight,yes,4,0,n,FALSE,FALSE,TRUE,MG-01,in_situ,catalogue,"Gao, 2008, p. 106",,,,,,
MG-02,Mogao 85 Music Scene Ruan,Mogao Cave,China,848-906 CE,Painting,round,single,no,long,tapering,perpendicular,straight,no,5,0,n,FALSE,TRUE,TRUE,MG-02,in_situ,catalogue,"Gao, 2008, p. 282",,,,,,
MG-03,Mogao 98 Music Scene 1,Mogao Cave,China,907-959 CE,Painting,waterdrop,single,no,short,parallel,smooth,straight,yes,4,0,n,FALSE,TRUE,TRUE,MG-03,in_situ,catalogue,"Gao, 2008, p. 104",,,,,,
MG-04,Mogao 98 Music Scene 2,Mogao Cave,China,907-959 CE,Painting,waterdrop,single,no,short,parallel,smooth,straight,yes,5,0,n,FALSE,TRUE,TRUE,MG-04,in_situ,catalogue,"Gao, 2008, p. 107",,,,,,
MG-05,Mogao 112 Music Scene 1,Mogao Cave,China,781-847 CE,Painting,round,single,no,long,parallel,obtuse,straight,no,n,0,n,FALSE,FALSE,TRUE,MG-05,in_situ,catalogue,"Gao, 2008, p. 76",,,,,,
MG-06,Mogao 112 Music Scene 2,Mogao Cave,China,781-847 CE,Painting,ovoid,single,no,short,parallel,obtuse,straight,yes,4,2,crescent,FALSE,TRUE,TRUE,MG-06,in_situ,catalogue,"Gao, 2008, p. 93",,,,,,
MG-07,Mogao 112 Music Scene 3,Mogao Cave,China,781-847 CE,Painting,round,single,no,long,parallel,obtuse,straight,no,n,0,n,FALSE,FALSE,TRUE,MG-07,in_situ,catalogue,"Gao, 2008, p. 95",,,,,,
MG-08,Mogao 144 Music Scene,Mogao Cave,China,848-906 CE,Painting,ovoid,single,no,short,tapering,smooth,bent_backwards,yes,4,0,n,FALSE,TRUE,TRUE,MG-08,in_situ,catalogue,"Gao, 2008, p. 84",,,,,,
MG-09,Mogao 146 Music Scene,Mogao Cave,China,907-959 CE,Painting,waterdrop,single,no,short,tapering,smooth,bent_backwards,yes,4,0,n,FALSE,TRUE,TRUE,MG-09,in_situ,catalogue,"Gao, 2008, p. 300",,,,,,
MG-10,Mogao 148 Music Scene,Mogao Cave,China,705–780 CE,Painting,waterdrop,single,no,short,tapering,smooth,straight,yes,5,0,n,FALSE,TRUE,TRUE,MG-10,in_situ,catalogue,"Gao, 2008, p. 53",,,,,,
MG-11,Mogao 154 Music Scene,Mogao Cave,China,848-906 CE,Painting,ovoid,single,no,short,n,smooth,n,n,4,2,crescent,FALSE,TRUE,TRUE,MG-11,in_situ,catalogue,"Gao, 2008, p. 116",,,,,,
MG-12,Mogao 156 Music Scene,Mogao Cave,China,848-906 CE,Painting,ovoid,single,no,short,parallel,obtuse,straight,yes,4,0,n,FALSE,TRUE,TRUE,MG-12,in_situ,catalogue,"Gao, 2008, p. 77",,,,,,
MG-13,Mogao 159 Music Scene,Mogao Cave,China,781-847 CE,Painting,ovoid,single,no,short,parallel,smooth,straight,yes,n,2,crescent,FALSE,TRUE,TRUE,MG-13,in_situ,catalogue,"Gao, 2008, p. 149",,,,,,
MG-14,Mogao 161 Music Scene,Mogao Cave,China,848-906 CE,Painting,ovoid,single,no,short,parallel,obtuse,straight,yes,4,0,n,FALSE,TRUE,TRUE,MG-14,in_situ,catalogue,"Gao, 2008, p. 54",,,,,,
MG-15,Mogao 172 Music Scene 1,Mogao Cave,China,705–780 CE,Painting,round,single,no,long,parallel,perpendicular,straight,yes,4,0,n,FALSE,FALSE,TRUE,MG-15,in_situ,catalogue,"Gao, 2008, p. 12",,,,,,
MG-16,Mogao 172 Music Scene 2,Mogao Cave,China,705–780 CE,Painting,waterdrop,single,no,short,tapering,obtuse,straight,yes,5,0,n,FALSE,FALSE,TRUE,MG-16,in_situ,catalogue,"Gao, 2008, p. 65",,,,,,
MG-17,Mogao 172 Music Scene 3,Mogao Cave,China,705–780 CE,Painting,round,single,no,long,parallel,perpendicular,straight,yes,n,0,n,FALSE,FALSE,TRUE,MG-17,in_situ,catalogue,"Gao, 2008, p. 100",,,,,,
MG-18,Mogao 217 Music Scene Ruan,Mogao Cave,China,705–780 CE,Painting,round,single,no,short,parallel,perpendicular,straight,yes,n,0,n,TRUE,FALSE,TRUE,MG-18,in_situ,catalogue,"Gao, 2008, p. 282",,,,,,
MG-19,Mogao 220 Music Scene 1,Mogao Cave,China,618-704 CE,Painting,floral,single,no,short,tapering,perpendicular,bent_backwards,yes,6,0,n,TRUE,FALSE,TRUE,MG-19,in_situ,catalogue,"Gao, 2008, p. 191",,,,,,
MG-20,Mogao 220 Music Scene 2,Mogao Cave,China,618-704 CE,Painting,waterdrop,single,no,short,tapering,smooth,straight,yes,4,2,crescent,TRUE,TRUE,TRUE,MG-20,in_situ,catalogue,"Gao, 2008, p. 43",,,,,,
MG-21,Mogao 228 Music Scene,Mogao Cave,China,535-556 CE,Painting,waterdrop,single,no,short,parallel,smooth,bent_backwards,yes,n,0,n,FALSE,TRUE,FALSE,MG-21,in_situ,catalogue,"Gao, 2008, p. 45",,,,,,
MG-22,Mogao 275 Music Scene,Mogao Cave,China,366-439 CE,Painting,waterdrop,single,no,short,parallel,obtuse,bent_backwards,yes,4,2,ring,FALSE,TRUE,TRUE,MG-22,in_situ,catalogue,"Gao, 2008, p. 42",,,,,,
MG-23,Mogao 285 Music Scene 1,Mogao Cave,China,535-556 CE,Painting,round,single,no,short,parallel,perpendicular,straight,yes,4,0,n,TRUE,FALSE,TRUE,MG-23,in_situ,catalogue,"Gao, 2008, p. 48",,,,,,
MG-24,Mogao 285 Music Scene 2,Mogao Cave,China,535-556 CE,Painting,waterdrop,single,no,short,tapering,smooth,bent_backwards,yes,4,0,n,FALSE,FALSE,FALSE,MG-24,in_situ,catalogue,"Gao, 2008, p. 305",,,,,,
MG-25,Mogao 285 Music Scene 3,Mogao Cave,China,535-556 CE,Painting,waterdrop,single,no,short,tapering,smooth,bent_backwards,yes,5,0,n,FALSE,FALSE,TRUE,MG-25,in_situ,catalogue,"Gao, 2008, p. 305",,,,,,
MG-26,Mogao 297 Music Scene,Mogao Cave,China,557-580 CE,Painting,waterdrop,single,no,short,parallel,smooth,bent_backwards,yes,4,2,crescent,FALSE,FALSE,FALSE,MG-26,in_situ,catalogue,"Gao, 2008, p. 145",,,,,,
MG-27,Mogao 313 Music Scene,Mogao Cave,China,581–618 CE,Painting,waterdrop,single,no,short,tapering,smooth,straight,yes,5,0,n,FALSE,FALSE,FALSE,MG-27,in_situ,catalogue,"Gao, 2008, p. 306",,,,,,
MG-28,Mogao 321 Music Scene,Mogao Cave,China,618-704 CE,Painting,ovoid,single,no,short,tapering,obtuse,straight,yes,5,2,crescent,FALSE,FALSE,TRUE,MG-28,in_situ,catalogue,"Gao, 2008, p. 307",,,,,,
MG-29,Mogao 358 Music Scene,Mogao Cave,China,848-906 CE,Painting,waterdrop,single,no,short,parallel,obtuse,straight,yes,n,0,n,FALSE,TRUE,TRUE,MG-29,in_situ,catalogue,"Gao, 2008, p. 79",,,,,,
MG-30,Mogao 359 Music Scene,Mogao Cave,China,907-959 CE,Painting,waterdrop,single,no,short,parallel,smooth,straight,yes,n,0,n,FALSE,TRUE,TRUE,MG-30,in_situ,catalogue,"Gao, 2008, p. 85",,,,,,
MG-31,Mogao 360 Music Scene,Mogao Cave,China,781-847 CE,Painting,round,single,no,short,tapering,obtuse,n,n,n,0,n,FALSE,TRUE,TRUE,MG-31,in_situ,catalogue,"Gao, 2008, p. 108",,,,,,
MG-32,Mogao 386 Music Scene,Mogao Cave,China,781-847 CE,Painting,waterdrop,single,no,short,parallel,smooth,straight,yes,n,0,n,FALSE,TRUE,TRUE,MG-32,in_situ,catalogue,"Gao, 2008, p. 86",,,,,,
MG-33,Mogao 420 Music Scene,Mogao Cave,China,581–618 CE,Painting,gourd,triple,yes,short,parallel,obtuse,straight,yes,5,0,n,FALSE,FALSE,FALSE,MG-33,in_situ,catalogue,"Gao, 2008, p. 309 ",,,,,,
MG-34,Mogao 423 Music Scene,Mogao Cave,China,581–618 CE,Painting,waterdrop,single,no,short,tapering,smooth,straight,yes,5,0,n,FALSE,FALSE,FALSE,MG-34,in_situ,catalogue,"Gao, 2008, p. 306",,,,,,
MG-35,Mogao 423 Music Scene,Mogao Cave,China,581–618 CE,Painting,gourd,triple,yes,short,parallel,obtuse,straight,yes,n,0,n,FALSE,FALSE,FALSE,MG-35,in_situ,catalogue,"Gao, 2008, p. 309",,,,,,
MG-36,Mogao 428 Music Scene,Mogao Cave,China,557-580 CE,Painting,waterdrop,single,no,short,tapering,smooth,n,n,n,0,n,TRUE,FALSE,FALSE,MG-36,in_situ,catalogue,"Gao, 2008, p. 49",,,,,,
MG-37,Mogao 435 Music Scene,Mogao Cave,China,439-534 CE,Painting,waterdrop,single,no,short,tapering,smooth,bent_backwards,n,n,0,n,FALSE,TRUE,FALSE,MG-37,in_situ,catalogue,"Gao, 2008, p. 43",,,,,,
MJ-01,Maiji 78 Music Scene,Maiji Mountain,China,557-618 CE,Painting,round,single,no,short,tapering,perpendicular,straight,yes,4,0,n,FALSE,FALSE,FALSE,MJ-01,in_situ,catalogue,"Tianshui Maijishan Grottoes Art Research Institute, 1989, p. 13",,,,,,
MJ-02,Maiji 4 Music Scene,Maiji Mountain,China,557-581 CE,Painting,ovoid,single,no,short,tapering,smooth,bent_backwards,yes,4,2,crescent,FALSE,TRUE,FALSE,MJ-02,in_situ,catalogue,"Tianshui Maijishan Grottoes Art Research Institute, 1989, p. 142",,,,,,
MT-01,Lute or Veena Player Mathura Kushan,Mathura,North_India,0-320 CE,Relief,waterdrop,single,no,short,tapering,smooth,n,n,2,0,n,FALSE,TRUE,FALSE,MT-01,Cleveland Museum of Art,online_gallery,"https://commons.wikimedia.org/wiki/File:Lute_or_veena_player,_India,_Mathura,_Kushan_Period_(1st_century-320).jpg",,,,,,
PC-01,Pachal Tepe Lute Player Figure,Pachal Tepe,Bactria,200-400 CE,Relief,rectangular,single,no,short,parallel,obtuse,n,n,3,0,n,FALSE,FALSE,FALSE,PC-01,"State Lenin University, Department of Archaeology",online_gallery,https://sogdians.si.edu/sidebars/retracing-the-sounds-of-sogdiana-sogdian-music-and-musical-instruments-in-central-asia-and-china/,catalogue,"Besseler & Schneider, 1987, p. 93",,,,
PJ-01,Penjikent Lute Player,Penjikent,Transoxiana,500-750 CE,Painting,waterdrop,single,no,short,tapering,smooth,bent_backwards,n,n,0,n,FALSE,TRUE,FALSE,PJ-01,?,literature,"Muradova,2017, p. 13",literature,"Belenitski, 1971, p. 38",literature,"Azarpay, 1981, p. 60",,
PW-01,Pawaya Gupta Lintel,Pawaya,North_India,400-600 CE,Relief,waterdrop,single,no,short,parallel,obtuse,straight,yes,5,2,crescent,FALSE,FALSE,FALSE,PW-01,Gujari Mahal Archeological Museum,online_gallery,https://www.soundsofangkor.org/english/ancient-music/lute/,,,,,,
SB-01,Kucha Box Lute Player,Subasi,Tarim_Basin,500-700 CE,Vessel,waterdrop,single,no,short,parallel,smooth,straight,yes,5,2,crescent,FALSE,FALSE,FALSE,SB-01,Tokyo National Museum,online_collection,https://webarchives.tnm.jp/imgsearch/show/C0055544,,,,,,
SD-01,Sogdian Lutenist,Sogd,Transoxiana,0-100 CE,Figurine,rectangular,single,no,short,parallel,perpendicular,n,n,2,0,n,FALSE,FALSE,FALSE,SD-01,?,catalogue,"The World Society for the Study, 2020a, p. 162",,,,,,
SG-01,Sugakekumu Lute,Sugakekumu,Tarim_Basin,600-800 CE,Relief,waterdrop,single,no,short,tapering,smooth,straight,yes,5,0,n,FALSE,FALSE,FALSE,SG-01,Hotan Prefecture Cultural Relics Management Office,catalogue,"General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 192",,,,,,
SH-01,Yakshi Playing Lute,Sahr-i Bahlol,Gandhara,400-600 CE,Relief,waterdrop,single,no,short,tapering,obtuse,straight,yes,2,2,crescent,FALSE,FALSE,FALSE,SH-01,Victoria and Albert Museum,online_collection,https://collections.vam.ac.uk/item/O24854/sculpture-sculpture-unknown/,,,,,,
SJ-01,Shengjinkou Lute,Shengjinkou,Tarim_Basin,900-1000 CE,Painting,waterdrop,single,no,short,tapering,smooth,straight,yes,n,2,crescent,TRUE,TRUE,TRUE,SJ-01,Ethnologisches Museum Berlin,catalogue,"General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 170",,,,,,
SS-01,Simsim 48 Lute,Simsim,Tarim_Basin,500-600 CE,Painting,waterdrop,single,no,short,tapering,smooth,straight,yes,5,0,n,FALSE,FALSE,FALSE,SS-01,in_situ,catalogue,"General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 148",,,,,,
ST-01,Shotorak Lute Player,Shotorak,Tarim_Basin,100-300 CE,Relief,gourd,double,yes,short,parallel,obtuse,straight,yes,n,0,n,FALSE,TRUE,FALSE,ST-01,?,literature,"Tissot, 2006, p. 328",,,,,,
SW-01,Swat Bracket with Two Musicians,Swat,Gandhara,100-200 CE,Statue,ovoid,single,no,short,parallel,obtuse,straight,yes,4,4,crescent,FALSE,TRUE,FALSE,SW-01,Cleveland Museum of Art,online_collection,https://www.clevelandart.org/art/1980.15,,,,,,
SW-02,Swat Five Celestial Musicians,Swat,Gandhara,300-500 CE,Statue,waterdrop,single,no,short,tapering,smooth,n,n,3,0,n,FALSE,TRUE,FALSE,SW-02,Los Angeles County Museum of Art,online_collection,https://collections.lacma.org/node/2262795?,,,,,,
SW-03,Swat Figura di suonatore,Swat,Gandhara,0-100 CE,Statue,gourd,double,yes,short,parallel,obtuse,n,n,2,4,ring,FALSE,FALSE,FALSE,SW-03,Galleria d’Arte Moderna Torino,online_collection,https://www.maotorino.it/en/archivio-catalogo/figura-di-suonatore/,catalogue,"Besseler & Schneider, 1981, p. 157",,,,
SW-04,Swat Two Boy Musicians,Swat,Gandhara,?,Figurine,ovoid,single,no,n,n,obtuse,n,n,4,4,ring,FALSE,TRUE,FALSE,SW-04,Peshwar Museum,literature,"Khan, 2015, p. 204",,,,,,
SY-01,Shouyang North Qi Standing Pipa Player,Shouyang,China,550–577 CE,Figurine,ovoid,single,no,short,n,obtuse,n,n,n,2,crescent,FALSE,FALSE,TRUE,SY-01,National Museum of China,online_collection,https://www.chnmuseum.cn/zp/zpml/kgfjp/202111/t20211111_252114.shtml,online_gallery,https://www.flickr.com/photos/101561334@N08/9832735686/in/photostream/,,,,
TB-01,Takht-i-Bahi Musical Scene 1,Takht-i-Bahi,Gandhara,100-200 CE,Relief,waterdrop,single,no,short,parallel,obtuse,straight,yes,2,0,n,FALSE,FALSE,FALSE,TB-01,Victoria and Albert Museum,online_collection,https://collections.vam.ac.uk/item/O85641/fragment-relief-unknown/,,,,,,
TB-02,Takht-i-Bahi  Musical Scene 2,Takht-i-Bahi,Gandhara,100-300 CE,Relief,gourd,double,yes,short,parallel,obtuse,straight,yes,4,0,n,FALSE,FALSE,FALSE,TB-02,Peshwar Museum,catalogue,https://cdn1.shenzhenmuseum.com/userfiles/uploadFile/20240428082625.pdf,,,,,,
TM-01,Termez Headless Lute Player Figurine,Termez,Bactria,200-400 CE,Figurine,round,single,no,short,parallel,perpendicular,straight,yes,2,2,ring,FALSE,FALSE,FALSE,TM-01,?,literature,"Muradova,2017, p. 13",,,,,,
TY-01,Xu Xianxiu Tomb,Taiyuan,China,571 CE,Painting,waterdrop,single,no,short,tapering,smooth,bent_backwards,yes,4,2,crescent,FALSE,TRUE,FALSE,TY-01,Shanxi Museum,literature,"Li, 2016, p. 20",,,,,,
XA-01,Anqie Sogdian Tomb,Xi'an,Sogdian,579 CE,Relief,waterdrop,single,no,short,tapering,smooth,bent_backwards,yes,n,0,n,FALSE,TRUE,FALSE,XA-01,Smithsonian: National Museum of Asian Art,literature,"Zhou, 2009, p. 329",online_collection,https://sogdians.si.edu/an-qies-funerary-bed/,,,,
XA-02,Camel with Sogdian Musicians,Xi'an,Sogdian,723 CE,Figurine,ovoid,single,no,short,tapering,smooth,straight,yes,n,0,n,FALSE,FALSE,TRUE,XA-02,National Museum of China,online_gallery,https://sogdians.si.edu/the-sogdians-abroad/,online_gallery,https://commons.wikimedia.org/wiki/File:Tang_Sancai_Porcelain_with_Musicians_on_a_Camel_%28no_background%29.jpg,,,,
XA-03,Chang'an Lute Player,Xi'an,Sogdian,500-600 CE,Relief,ovoid,single,no,short,tapering,smooth,bent_backwards,yes,4,2,crescent,FALSE,TRUE,FALSE,XA-03,?,literature,"Muradova,2017, p. 14",,,,,,
XA-04,Mural Musician Figurines,Xi'an,China,618-907 CE,Figurine,ovoid,single,no,short,tapering,smooth,straight,yes,n,0,n,FALSE,FALSE,TRUE,XA-04,National Museum of China,online_collection,https://www.chnmuseum.cn/zp/zpml/kgfjp/202111/t20211116_252264.shtml,,,,,,
XA-05,Shi Jun Tomb,Xi'an,Sogdian,580 CE,Relief,waterdrop,single,no,short,tapering,smooth,bent_backwards,yes,4,0,n,FALSE,TRUE,FALSE,XA-05,Smithsonian: National Museum of Asian Art,online_gallery,https://sogdians.si.edu/shi-juns-sarcophagus/,online_gallery,https://www.iranicaonline.org/articles/music-history-i-pre-islamic-iran/,,,,
YG-01,Yarghol Lute Player,Yarghol,Tarim_Basin,600-800 CE,Painting,gourd,double,yes,short,parallel,obtuse,straight,yes,4,0,n,FALSE,FALSE,FALSE,YG-01,Ethnologisches Museum Berlin,catalogue,"General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, pp. 188-189",,,,,,
YK-01,Yotkan Monkey Playing Lute 1,Yotkan,Tarim_Basin,100-300 CE,Figurine,waterdrop,single,no,short,tapering,smooth,straight,n,3,0,n,FALSE,FALSE,FALSE,YK-01,British Museum,online_collection,https://www.britishmuseum.org/collection/object/A_1902-1220-502,literature,"Stein,1907 Vol. 1, pp. 212-213",,,,
YK-02,Yotkan Monkey Playing Lute 2,Yotkan,Tarim_Basin,100-300 CE,Figurine,waterdrop,single,no,short,tapering,smooth,straight,n,4,0,n,FALSE,FALSE,FALSE,YK-02,British Museum,online_collection,https://www.britishmuseum.org/collection/image/1162110001,,,,,,
YK-03,Yotkan Monkey Playing Lute 3,Yotkan,Tarim_Basin,100-300 CE,Figurine,waterdrop,single,no,short,tapering,smooth,straight,n,3,2,ring,FALSE,FALSE,FALSE,YK-03,British Museum,online_collection,https://www.britishmuseum.org/collection/object/A_MAS-113,,,,,,
YK-04,Yotkan Monkey Playing Lute 4,Yotkan,Tarim_Basin,0-700 CE,Figurine,waterdrop,single,no,short,tapering,smooth,straight,yes,4,2,ring,FALSE,FALSE,FALSE,YK-04,British Museum,online_collection,https://www.britishmuseum.org/collection/object/A_1907-1111-30?selectedImageId=1613752095,,,,,,
YK-05,Yotkan Monkey Playing Lute 5,Yotkan,Tarim_Basin,?,Figurine,waterdrop,single,no,short,tapering,smooth,straight,yes,5,0,n,FALSE,FALSE,FALSE,YK-05,"Etnografiska museet, Stockholm",online_collection,https://www.europeana.eu/en/item/91619/SMVK_EM_objekt_1025987?page=1,,,,,,
YK-06,Yotkan Lute Player,Yotkan,Tarim_Basin,300-400 CE,Figurine,round,single,no,short,parallel,obtuse,n,n,5,0,n,FALSE,FALSE,FALSE,YK-06,Ashmolean Museum of Art & Archaeology,online_collection,https://www.ashmolean.org/collections-online#/item/ash-object-356480,,,,,,
YL-01,Yulin 10 Music Scene,Yulin Cave,China,1038-1227 CE,Painting,ovoid,single,no,short,parallel,smooth,bent_backwards,yes,4,2,crescent,FALSE,TRUE,TRUE,YL-01,in_situ,catalogue,"Dunhuang Academy, 2012, p. 62",catalogue,"Gao, 2008, p. 57",,,,
YL-02,Yulin 25 Music Scene,Yulin Cave,China,756-835 CE,Painting,ovoid,single,no,short,parallel,smooth,straight,yes,4,2,crescent,FALSE,TRUE,TRUE,YL-02,in_situ,catalogue,"Dunhuang Academy, 2012, pp. 25-26",,,,,,
YS-01,Yusufzai Lute Player,Yusufzai,Gandhara,0-300 CE,Relief,waterdrop,single,yes,short,parallel,smooth,straight,yes,3,2,crescent,FALSE,FALSE,FALSE,YS-01,Victoria and Albert Museum,online_collection,https://collections.vam.ac.uk/item/O1270758/photograph/,online_gallery,https://commons.wikimedia.org/wiki/File:Man_playing_Lyre_from_Yusufzai_Gandhara.jpg,,,,
ZD-01,Sogdian Tomb Panel,? Zhangdefu,China,550–577 CE,Relief,gourd,double,yes,short,parallel,smooth,straight,yes,5,0,n,FALSE,FALSE,FALSE,ZD-01,Miho Museum,online_collection,https://www.miho.jp/booth/html/artcon/00000432e.htm,catalogue,"Arnold, 1996, pp. 142-145",catalogue,"The World Society for the Study, 2022. pp. 288-289",,
ZL-01,Zhaoling Li Simo Music Scene,Zhaoling,China,647 CE,Painting,waterdrop,single,no,short,tapering,smooth,straight,yes,n,2,crescent,FALSE,FALSE,TRUE,ZL-01,in_situ,catalogue,"Zhang, 2006, p. 18",,,,,,
ZL-02,Zhaoling Yan Concubine Music Scene,Zhaoling,China,671 CE,Painting,ovoid,single,no,short,tapering,smooth,straight,yes,5,2,ring,TRUE,TRUE,FALSE,ZL-02,in_situ,catalogue,"Zhang, 2006, p. 175",,,,,,
